"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1709","Clayton Kershaw",605538,"SL|CU","In play, out(s)","84","-8.04"
"1710","Clayton Kershaw",605538,"CU|FF","Ball","null","null"
"1711","Clayton Kershaw",593495,"NULL","Ball","null","null"
"1712","Clayton Kershaw",593495,"CH|SL","Swinging Strike","null","null"
"1713","Clayton Kershaw",593495,"SL|SL","Swinging Strike","null","null"
"1714","Clayton Kershaw",593495,"SL|FF","Called Strike","null","null"
"1715","Clayton Kershaw",593495,"FF|FF","Ball","null","null"
"1716","Clayton Kershaw",518692,"NULL","Ball","null","null"
"1717","Clayton Kershaw",518692,"SL|FF","Swinging Strike","null","null"
"1718","Clayton Kershaw",518692,"FF|FF","Ball","null","null"
"1719","Clayton Kershaw",518692,"FF|FF","Foul","null","null"
"1720","Clayton Kershaw",518692,"FF|CU","Ball","null","null"
"1721","Clayton Kershaw",518692,"CU|FF","Foul","null","12.05"
"1722","Clayton Kershaw",518692,"FF|FF","In play, no out","100.6","15.39"
"1723","Clayton Kershaw",611177,"NULL","Called Strike","null","null"
"1724","Clayton Kershaw",611177,"FF|CU","In play, no out","66.9","33.55"
"1725","Clayton Kershaw",611177,"CU|SL","Ball","null","null"
"1726","Clayton Kershaw",611177,"SL|SL","Foul","null","null"
"1727","Clayton Kershaw",611177,"SL|CU","Ball In Dirt","null","null"
"1728","Clayton Kershaw",452095,"NULL","Called Strike","null","null"
"1729","Clayton Kershaw",452095,"FF|CU","In play, out(s)","82.2","-30.24"
"1730","Clayton Kershaw",452095,"CU|FF","Called Strike","null","null"
"1731","Clayton Kershaw",425796,"NULL","Ball","null","null"
"1732","Clayton Kershaw",425796,"FF|CU","Ball","null","null"
"1733","Clayton Kershaw",425796,"CU|FF","Foul","null","51.32"
"1734","Clayton Kershaw",425796,"FF|FF","Foul","null","null"
"1735","Clayton Kershaw",425796,"FF|FF","Called Strike","null","null"
"1736","Clayton Kershaw",605480,"NULL","Called Strike","null","null"
"1737","Clayton Kershaw",605480,"FF|SL","Swinging Strike","null","null"
"1738","Clayton Kershaw",605480,"SL|FF","Swinging Strike","null","null"
"1739","Clayton Kershaw",607054,"NULL","In play, out(s)","94.3","36.57"
"1740","Clayton Kershaw",607054,"SL|FF","Called Strike","null","null"
"1741","Clayton Kershaw",430947,"NULL","Swinging Strike","null","null"
"1742","Clayton Kershaw",430947,"SL|CU","Swinging Strike (Blocked)","null","null"
"1743","Clayton Kershaw",430947,"CU|FF","Swinging Strike","null","null"
"1744","Clayton Kershaw",593495,"NULL","Called Strike","null","null"
"1745","Clayton Kershaw",593495,"FF|CU","Swinging Strike (Blocked)","null","null"
"1746","Clayton Kershaw",593495,"CU|SL","Foul","null","null"
"1747","Clayton Kershaw",593495,"SL|FF","Ball","null","null"
"1748","Clayton Kershaw",518692,"NULL","Ball","null","null"
"1749","Clayton Kershaw",518692,"CU|SL","Ball","null","null"
"1750","Clayton Kershaw",518692,"SL|SL","Ball","null","null"
"1751","Clayton Kershaw",518692,"SL|FF","Ball","null","null"
"1752","Clayton Kershaw",518692,"FF|SL","Called Strike","null","null"
"1753","Clayton Kershaw",452095,"NULL","Called Strike","null","null"
"1754","Clayton Kershaw",452095,"FF|SL","Swinging Strike","null","null"
"1755","Clayton Kershaw",452095,"SL|SL","Ball","null","null"
