"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"433","Nick Goody",453943,"SL|FF","Strike","null","null"
"439","Nick Goody",444876,"FF|FF","Foul","null","null"
"442","Nick Goody",456715,"SL|FF","Strike","null","null"
"443","Nick Goody",456715,"FF|FF","Foul","null","null"
"444","Nick Goody",456715,"FF|FF","Foul","null","null"
"445","Nick Goody",456715,"FF|SL","Foul","null","null"
"446","Nick Goody",456715,"SL|SL","Hit","109.3","5.01"
"450","Nick Goody",593428,"FF|SL","Hit","null","null"
"452","Nick Goody",120074,"SL|FF","Foul","null","null"
"454","Nick Goody",434670,"SL|FF","Foul","null","null"
"455","Nick Goody",434670,"FF|SL","Foul","null","null"
"456","Nick Goody",434670,"SL|FF","Hit","null","null"
"458","Nick Goody",434670,"SL|SL","Hit","null","null"
"460","Nick Goody",598265,"SL|SL","Hit","null","null"
"461","Nick Goody",598265,"SL|SL","Strike","null","null"
"464","Nick Goody",605141,"FF|SL","Hit","null","null"
"465","Nick Goody",605141,"SL|FF","Strike","null","null"
"467","Nick Goody",605141,"FF|SL","Hit","null","null"
"470","Nick Goody",456030,"SL|SL","Strike","null","null"
"471","Nick Goody",456030,"SL|FF","Foul","null","null"
"474","Nick Goody",455759,"SL|SL","Strike","null","null"
"475","Nick Goody",455759,"SL|FF","Strike","null","null"
"479","Nick Goody",543768,"FF|SL","Foul","null","null"
"480","Nick Goody",543768,"SL|FF","Hit","null","null"
"481","Nick Goody",543768,"FF|FF","Foul","null","null"
"483","Nick Goody",543768,"FF|SL","Foul","null","null"
"485","Nick Goody",571788,"FF|FF","Strike","null","null"
"487","Nick Goody",543877,"SL|SL","Strike","null","null"
"491","Nick Goody",434670,"FF|SL","Foul","null","null"
"492","Nick Goody",434670,"SL|SL","Foul","86.2","9.49"
"493","Nick Goody",434670,"SL|SL","Strike","null","null"
"494","Nick Goody",434670,"SL|SL","Foul","null","null"
"498","Nick Goody",595281,"SL|FF","Strike","null","null"
"500","Nick Goody",595281,"FF|FF","Hit","null","null"
"506","Nick Goody",592200,"SL|FF","Strike","null","null"
"508","Nick Goody",523253,"FF|FF","Strike","null","null"
"510","Nick Goody",489149,"SL|SL","Hit","null","null"
"512","Nick Goody",489149,"FF|SL","Hit","null","null"
"515","Nick Goody",446334,"SL|SL","Hit","null","null"
"516","Nick Goody",446334,"SL|FF","Foul","null","null"
"519","Nick Goody",572816,"FF|SL","Hit","null","null"
"522","Nick Goody",572816,"FF|SL","Strike","null","null"
"527","Nick Goody",456665,"SL|SL","Hit","null","null"
"529","Nick Goody",543543,"SL|FF","Foul","null","null"
