"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"372","Lucas Harrell",435559,"FT|SL","Called Strike","null","null"
"374","Lucas Harrell",596146,"FT|FT","Called Strike","null","null"
"375","Lucas Harrell",596146,"FT|FT","In play, out(s)","85.7","-9.12"
"377","Lucas Harrell",573627,"SL|FT","In play, no out","113.2","9.8"
"379","Lucas Harrell",573627,"CU|FT","Called Strike","null","null"
"381","Lucas Harrell",592696,"CU|FT","Foul","null","null"
"384","Lucas Harrell",435559,"FT|FT","Called Strike","null","null"
"385","Lucas Harrell",435559,"FT|FT","Called Strike","null","null"
"386","Lucas Harrell",435559,"FT|FT","Foul","null","null"
"388","Lucas Harrell",435559,"FF|FT","Foul","null","null"
"389","Lucas Harrell",435559,"FT|SL","Foul","null","null"
"390","Lucas Harrell",435559,"SL|SL","In play, out(s)","81.9","31.19"
"395","Lucas Harrell",621439,"SL|FT","Called Strike","null","null"
"399","Lucas Harrell",408045,"CH|FT","Called Strike","null","null"
"402","Lucas Harrell",408045,"CU|SL","Swinging Strike","null","null"
"405","Lucas Harrell",593934,"SL|SL","Called Strike","null","null"
"407","Lucas Harrell",593934,"FT|FT","Called Strike","null","null"
"409","Lucas Harrell",572821,"FT|FT","In play, no out","101.5","-2.62"
"413","Lucas Harrell",573627,"SL|FT","Called Strike","null","null"
"418","Lucas Harrell",592696,"SL|SL","Swinging Strike","null","null"
"419","Lucas Harrell",592696,"SL|SL","Called Strike","null","null"
"422","Lucas Harrell",621439,"SL|FF","Foul","null","null"
"423","Lucas Harrell",621439,"FF|FF","Called Strike","null","null"
"424","Lucas Harrell",621439,"FF|FF","Called Strike","null","null"
"426","Lucas Harrell",621439,"CH|SL","In play, no out","73","10.61"
"428","Lucas Harrell",456488,"FT|FT","Foul","null","null"
"429","Lucas Harrell",456488,"FT|FT","In play, out(s)","82.8","-17.33"
"431","Lucas Harrell",456488,"FT|FT","Called Strike","null","null"
"433","Lucas Harrell",593934,"FT|SL","Foul","null","null"
"435","Lucas Harrell",593934,"FF|SL","Swinging Strike","null","null"
"436","Lucas Harrell",593934,"SL|FT","In play, out(s)","74.6","42.38"
"438","Lucas Harrell",572821,"SL|FT","Called Strike","null","null"
"440","Lucas Harrell",572821,"SL|FF","Foul","null","null"
"442","Lucas Harrell",572821,"FT|FT","Called Strike","null","null"
"443","Lucas Harrell",572821,"FT|FT","Foul","null","null"
"444","Lucas Harrell",572821,"FT|FF","In play, out(s)","85.7","31.95"
"448","Lucas Harrell",408045,"FT|FT","In play, out(s)","95.8","2.03"
"453","Lucas Harrell",596146,"FF|SL","In play, out(s)","86.1","3.43"
"454","Lucas Harrell",596146,"SL|FT","Swinging Strike","null","null"
"455","Lucas Harrell",596146,"FT|SL","Swinging Strike","null","null"
"460","Lucas Harrell",446359,"FT|FT","Called Strike","null","null"
"462","Lucas Harrell",446359,"FT|CH","Foul","null","null"
"465","Lucas Harrell",458015,"FF|CH","Foul","null","null"
"466","Lucas Harrell",458015,"CH|SL","Swinging Strike","null","null"
"467","Lucas Harrell",458015,"SL|FT","Called Strike","null","null"
"468","Lucas Harrell",458015,"FT|FF","Foul","null","null"
"471","Lucas Harrell",457803,"CU|SL","Swinging Strike","null","null"
"473","Lucas Harrell",457803,"SL|CH","Called Strike","null","null"
"477","Lucas Harrell",408252,"SL|FT","In play, out(s)","103","-14.75"
"480","Lucas Harrell",606299,"SL|FT","In play, no out","103.8","10.87"
"484","Lucas Harrell",571466,"CH|FT","Foul","null","null"
"486","Lucas Harrell",543101,"FT|FT","Foul (Runner Going)","null","null"
"487","Lucas Harrell",543101,"FT|FT","In play, out(s)","94.5","-17.82"
"488","Lucas Harrell",543101,"FT|FT","Swinging Strike","null","null"
"490","Lucas Harrell",446359,"SL|FT","Called Strike","null","null"
"493","Lucas Harrell",458015,"FT|CH","Foul","null","null"
"496","Lucas Harrell",458015,"SL|SL","Foul","null","null"
"497","Lucas Harrell",458015,"SL|FF","Foul","null","null"
"500","Lucas Harrell",457803,"FT|FT","Foul","null","null"
"502","Lucas Harrell",457803,"CU|CH","Called Strike","null","null"
"503","Lucas Harrell",457803,"CH|CH","In play, out(s)","85.1","41.03"
"505","Lucas Harrell",553993,"FT|FF","Called Strike","null","null"
"507","Lucas Harrell",408252,"FT|FT","Swinging Strike","null","null"
"509","Lucas Harrell",606299,"SL|SL","Foul","null","null"
"510","Lucas Harrell",606299,"SL|FT","In play, out(s)","72","-26.65"
"511","Lucas Harrell",606299,"FT|FT","Called Strike","null","null"
"514","Lucas Harrell",543101,"CU|FT","Called Strike","null","null"
"519","Lucas Harrell",446359,"FT|FT","Called Strike","null","null"
"521","Lucas Harrell",571740,"FT|SL","In play, out(s)","72.2","35.68"
"522","Lucas Harrell",571740,"SL|FT","Foul","null","null"
"526","Lucas Harrell",458015,"SL|FT","In play, out(s)","89.4","39.09"
"528","Lucas Harrell",457803,"CU|FF","In play, no out","95.9","12.8"
"530","Lucas Harrell",553993,"FT|FT","In play, no out","68.8","34.67"
"531","Lucas Harrell",553993,"FT|CU","Swinging Strike","null","null"
"534","Lucas Harrell",606299,"SL|FT","In play, run(s)","103.5","0.18"
"537","Lucas Harrell",571466,"SL|SL","Foul","null","null"
"539","Lucas Harrell",543101,"FT|FT","Called Strike","null","null"
"540","Lucas Harrell",543101,"FT|CU","Swinging Strike","null","null"
"541","Lucas Harrell",543101,"CU|FT","Foul","null","null"
"543","Lucas Harrell",446359,"CH|SL","In play, out(s)","93.1","31.63"
"545","Lucas Harrell",571466,"FT|CU","Called Strike","null","null"
"547","Lucas Harrell",571740,"FT|SL","In play, out(s)","83.4","52.37"
"548","Lucas Harrell",571740,"SL|FT","Foul","null","null"
"549","Lucas Harrell",571740,"FT|FT","In play, no out","85.3","13.88"
"552","Lucas Harrell",571740,"FT|FT","Foul","null","null"
"554","Lucas Harrell",453568,"FT|FT","Foul","null","null"
"557","Lucas Harrell",453568,"FT|FT","In play, out(s)","90.4","17.69"
"560","Lucas Harrell",518934,"SL|FT","Foul","null","null"
"561","Lucas Harrell",518934,"FT|FT","Called Strike","null","null"
"563","Lucas Harrell",518934,"FT|FT","In play, out(s)","85.5","-14.8"
"567","Lucas Harrell",571448,"SL|FT","Called Strike","null","null"
"568","Lucas Harrell",571448,"FT|FT","Foul","null","null"
"572","Lucas Harrell",471865,"FT|FF","Foul","null","null"
"573","Lucas Harrell",471865,"FF|FT","Called Strike","null","null"
"575","Lucas Harrell",471865,"FF|FT","In play, run(s)","null","null"
"577","Lucas Harrell",596115,"SL|FT","Swinging Strike","null","null"
"582","Lucas Harrell",518614,"FT|CU","Swinging Strike","null","null"
"583","Lucas Harrell",518614,"CU|FT","Called Strike","null","null"
"586","Lucas Harrell",448602,"SL|SL","Foul","null","null"
"587","Lucas Harrell",448602,"SL|FT","Swinging Strike","null","null"
"588","Lucas Harrell",448602,"FT|FT","Foul","null","null"
"591","Lucas Harrell",460026,"SL|SL","Called Strike","null","null"
"593","Lucas Harrell",407822,"FT|FT","Swinging Strike","null","null"
"594","Lucas Harrell",407822,"FT|CU","Foul","null","null"
"596","Lucas Harrell",407822,"FT|FT","Swinging Strike","null","null"
"598","Lucas Harrell",518934,"FT|FT","Foul","null","null"
"599","Lucas Harrell",518934,"FT|FT","In play, out(s)","null","null"
"610","Lucas Harrell",448602,"CU|FT","Swinging Strike","null","null"
"611","Lucas Harrell",448602,"FT|FT","Called Strike","null","null"
"614","Lucas Harrell",460026,"FT|FT","In play, no out","110.1","7.18"
"619","Lucas Harrell",518934,"FT|FT","In play, run(s)","98.6","19.36"
"621","Lucas Harrell",518934,"CU|SL","Foul","null","null"
"624","Lucas Harrell",571448,"FT|FT","Foul","null","null"
"625","Lucas Harrell",571448,"FT|CU","In play, no out","82.3","-8.32"
"627","Lucas Harrell",571448,"SL|CH","Foul","null","null"
"632","Lucas Harrell",596115,"SL|FT","In play, run(s)","null","null"
"633","Lucas Harrell",596115,"FT|CH","Foul","null","null"
"635","Lucas Harrell",596115,"FT|SL","Foul","null","null"
"638","Lucas Harrell",592178,"FT|CU","Called Strike","null","null"
"639","Lucas Harrell",592178,"CU|FT","Swinging Strike","null","null"
"640","Lucas Harrell",592178,"FT|CU","Swinging Strike (Blocked)","null","null"
"643","Lucas Harrell",519203,"FT|FT","In play, out(s)","83.7","-7.29"
"645","Lucas Harrell",450314,"FT|CH","In play, out(s)","null","null"
"647","Lucas Harrell",450314,"FT|FT","Called Strike","null","null"
"650","Lucas Harrell",575929,"FT|FT","In play, out(s)","null","null"
"651","Lucas Harrell",575929,"FT|FT","Called Strike","null","null"
"655","Lucas Harrell",608365,"FT|FT","Called Strike","null","null"
"656","Lucas Harrell",608365,"FT|CU","Swinging Strike","null","null"
"657","Lucas Harrell",608365,"CU|FT","In play, out(s)","92.1","-0.03"
"659","Lucas Harrell",434628,"FT|FT","Called Strike","null","null"
"660","Lucas Harrell",434628,"FT|CU","Swinging Strike","null","null"
"661","Lucas Harrell",434628,"CU|FT","Called Strike","null","null"
"667","Lucas Harrell",592178,"CU|FT","Foul","null","null"
"668","Lucas Harrell",592178,"FT|FT","Hit By Pitch","null","null"
"670","Lucas Harrell",592178,"CU|FT","Called Strike","null","null"
"671","Lucas Harrell",592178,"FT|FT","Foul","null","null"
"675","Lucas Harrell",450314,"CU|SL","In play, out(s)","99","11.32"
"678","Lucas Harrell",575929,"FT|FT","In play, out(s)","94.7","5.22"
"679","Lucas Harrell",575929,"FT|CU","Called Strike","null","null"
"680","Lucas Harrell",575929,"CU|CU","Swinging Strike","null","null"
"682","Lucas Harrell",518792,"FT|FT","In play, no out","99.9","-3.05"
"686","Lucas Harrell",608365,"CU|CU","Foul","null","null"
"688","Lucas Harrell",608365,"FT|FT","Foul","null","null"
"689","Lucas Harrell",608365,"FT|CU","Called Strike","null","null"
"692","Lucas Harrell",434628,"CU|FT","Foul","null","null"
"693","Lucas Harrell",434628,"FT|CU","Swinging Strike","null","null"
"694","Lucas Harrell",434628,"CU|FT","Foul","null","null"
"697","Lucas Harrell",595879,"FT|FT","Called Strike","null","null"
"700","Lucas Harrell",595879,"CU|FT","In play, out(s)","89.3","3.45"
"702","Lucas Harrell",600303,"FT|CU","Foul","null","null"
"703","Lucas Harrell",600303,"CU|SL","Foul","null","null"
"705","Lucas Harrell",600303,"SL|SL","Swinging Strike","null","null"
"707","Lucas Harrell",600303,"FT|CH","Swinging Strike","null","null"
"714","Lucas Harrell",450314,"CH|FT","Foul","null","null"
"715","Lucas Harrell",450314,"FT|CU","Called Strike","null","null"
"717","Lucas Harrell",450314,"CH|CH","In play, out(s)","100.5","-1.97"
"721","Lucas Harrell",575929,"FT|FT","Called Strike","null","null"
"722","Lucas Harrell",575929,"FT|FT","In play, no out","86.4","14.54"
"723","Lucas Harrell",575929,"FT|FT","Called Strike","null","null"
"724","Lucas Harrell",575929,"FT|CU","Foul","null","null"
"727","Lucas Harrell",608365,"FT|FT","Foul","null","null"
"729","Lucas Harrell",608365,"FT|CU","In play, out(s)","84.5","45.8"
"731","Lucas Harrell",600869,"SL|CU","Foul","null","null"
"733","Lucas Harrell",600869,"SL|FF","Foul","null","null"
"734","Lucas Harrell",600869,"FF|FT","Foul","null","null"
"736","Lucas Harrell",595879,"FT|FT","Called Strike","null","null"
"740","Lucas Harrell",600303,"FT|SL","In play, out(s)","null","null"
"741","Lucas Harrell",600303,"SL|FT","Called Strike","null","null"
"744","Lucas Harrell",592178,"FT|FT","Foul","null","null"
"745","Lucas Harrell",592178,"FT|FT","Foul","null","null"
"746","Lucas Harrell",592178,"FT|FT","Called Strike","null","null"
"748","Lucas Harrell",592178,"CU|CU","Hit By Pitch","null","null"
"751","Lucas Harrell",518618,"SL|SL","In play, out(s)","null","null"
"754","Lucas Harrell",400085,"FT|FT","In play, out(s)","94.8","34.72"
"757","Lucas Harrell",445988,"FT|FT","Foul","null","null"
"760","Lucas Harrell",445988,"FT|FT","Called Strike","null","null"
"761","Lucas Harrell",445988,"FT|FT","Foul","null","null"
