"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"261","Ross Ohlendorf",457759,"CH|CH","Foul","null","null"
"263","Ross Ohlendorf",457759,"FF|FF","Swinging Strike","null","null"
"264","Ross Ohlendorf",457759,"FF|CH","Called Strike","null","null"
"266","Ross Ohlendorf",457759,"CH|FF","Foul","null","null"
"272","Ross Ohlendorf",608369,"CH|FF","In play, run(s)","90.2","-2.87"
"274","Ross Ohlendorf",608369,"FF|FF","Foul","null","null"
"276","Ross Ohlendorf",445988,"CH|FF","In play, out(s)","84.9","16.6"
"278","Ross Ohlendorf",592885,"FF|CH","Called Strike","null","null"
"279","Ross Ohlendorf",592885,"CH|CH","Called Strike","null","null"
"282","Ross Ohlendorf",592885,"CH|CH","Swinging Strike","null","null"
"285","Ross Ohlendorf",592663,"FF|CH","Foul","null","null"
"286","Ross Ohlendorf",592663,"CH|SL","Swinging Strike","null","null"
"289","Ross Ohlendorf",542303,"CH|CH","In play, out(s)","null","null"
"291","Ross Ohlendorf",474892,"SL|CH","Called Strike","null","null"
"292","Ross Ohlendorf",474892,"CH|FT","Foul","null","null"
"294","Ross Ohlendorf",541650,"FF|CH","In play, out(s)","92.9","-15.32"
"295","Ross Ohlendorf",541650,"CH|CH","Called Strike","null","null"
"298","Ross Ohlendorf",455117,"CH|FF","Swinging Strike","null","null"
"299","Ross Ohlendorf",455117,"FF|FF","In play, out(s)","98.3","42.24"
"302","Ross Ohlendorf",455117,"FF|FF","Swinging Strike","null","null"
"304","Ross Ohlendorf",542340,"CH|SL","Swinging Strike (Blocked)","null","null"
"305","Ross Ohlendorf",542340,"SL|CH","Swinging Strike","null","null"
"309","Ross Ohlendorf",606115,"SL|SL","Called Strike","null","null"
"310","Ross Ohlendorf",606115,"SL|FF","Foul","null","null"
"311","Ross Ohlendorf",606115,"FF|SL","In play, out(s)","99.1","4.99"
"313","Ross Ohlendorf",570717,"FF|FF","Foul","null","null"
"315","Ross Ohlendorf",570717,"FF|FF","Called Strike","null","null"
"318","Ross Ohlendorf",570717,"FF|FF","In play, run(s)","101","29.87"
"321","Ross Ohlendorf",461235,"FF|FF","Foul","null","null"
"323","Ross Ohlendorf",461235,"FT|FF","Called Strike","null","null"
"324","Ross Ohlendorf",461235,"FF|CH","Called Strike","null","null"
"327","Ross Ohlendorf",425877,"SL|FF","Hit By Pitch","null","null"
"330","Ross Ohlendorf",446481,"FF|SL","Swinging Strike","null","null"
"331","Ross Ohlendorf",446481,"SL|FF","In play, run(s)","103.5","25.11"
"335","Ross Ohlendorf",594824,"FF|CH","Foul","null","null"
"336","Ross Ohlendorf",594824,"CH|SL","Swinging Strike","null","null"
"340","Ross Ohlendorf",572039,"SL|SL","Foul","null","null"
"341","Ross Ohlendorf",572039,"SL|CH","Foul","null","null"
"342","Ross Ohlendorf",572039,"CH|SL","Swinging Strike (Blocked)","null","null"
"346","Ross Ohlendorf",434636,"CH|FF","Foul","null","null"
"348","Ross Ohlendorf",434636,"FF|FF","Called Strike","null","null"
"350","Ross Ohlendorf",607776,"CH|FF","Foul","null","null"
"351","Ross Ohlendorf",607776,"FF|FF","Foul","null","null"
"354","Ross Ohlendorf",607776,"CH|FF","Foul","null","null"
"355","Ross Ohlendorf",607776,"FF|FF","Foul","null","null"
"363","Ross Ohlendorf",543063,"SL|CH","Called Strike","null","null"
"364","Ross Ohlendorf",543063,"CH|CH","Swinging Strike (Blocked)","null","null"
"365","Ross Ohlendorf",543063,"CH|CH","Swinging Strike (Blocked)","null","null"
"369","Ross Ohlendorf",474832,"CH|FF","Foul (Runner Going)","null","null"
"371","Ross Ohlendorf",474832,"FF|CH","Swinging Strike","null","null"
