"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Nate Jones",593934,"SL|FT","In play, out(s)","86","-22.53"
"207","Nate Jones",543401,"SL|SL","Swinging Strike","null","null"
"208","Nate Jones",543401,"SL|SL","Called Strike","null","null"
"209","Nate Jones",543401,"SL|FT","Foul","null","null"
"214","Nate Jones",435063,"FT|FT","Foul","null","null"
"215","Nate Jones",435063,"FT|SL","Swinging Strike","null","null"
"217","Nate Jones",435063,"SL|FT","Swinging Strike","null","null"
"221","Nate Jones",467793,"SL|FT","Foul","null","null"
"223","Nate Jones",467793,"SL|FT","Called Strike","null","null"
"224","Nate Jones",467793,"FT|SL","Foul","null","null"
"225","Nate Jones",467793,"SL|SL","Called Strike","null","null"
"228","Nate Jones",608070,"SL|SL","Foul","null","null"
"229","Nate Jones",608070,"SL|SL","In play, run(s)","103.2","0.48"
"230","Nate Jones",608070,"SL|FT","Called Strike","null","null"
"231","Nate Jones",608070,"FT|FT","Foul","null","null"
"232","Nate Jones",608070,"FT|FT","Foul","null","null"
"235","Nate Jones",588751,"SL|SL","Swinging Strike","null","null"
"236","Nate Jones",588751,"SL|FT","Called Strike","null","null"
"238","Nate Jones",588751,"FT|FT","Foul","null","null"
"240","Nate Jones",400085,"FT|FT","In play, out(s)","91.5","40.77"
"242","Nate Jones",543829,"SL|FT","Foul","null","null"
"243","Nate Jones",543829,"FT|FT","Foul","null","null"
"245","Nate Jones",592885,"SL|SL","Swinging Strike (Blocked)","null","null"
"246","Nate Jones",592885,"SL|FT","Called Strike","null","null"
"249","Nate Jones",519317,"FT|SL","Swinging Strike (Blocked)","null","null"
"251","Nate Jones",519317,"FT|FT","Foul","null","null"
"253","Nate Jones",542303,"SL|SL","Swinging Strike","null","null"
"254","Nate Jones",542303,"SL|FT","In play, out(s)","105","6.59"
"256","Nate Jones",445988,"SL|FT","In play, out(s)","99.8","-9.54"
"257","Nate Jones",445988,"FT|SL","Called Strike","null","null"
"261","Nate Jones",456715,"SL|SL","Foul","null","null"
"262","Nate Jones",456715,"SL|SL","Swinging Strike","null","null"
"265","Nate Jones",460086,"FT|SL","Foul","null","null"
"271","Nate Jones",609275,"SL|SL","Swinging Strike","null","null"
"272","Nate Jones",609275,"SL|FT","Foul","null","null"
"273","Nate Jones",609275,"FT|SL","Swinging Strike","null","null"
"275","Nate Jones",434778,"SL|FT","In play, no out","101.5","12.44"
"276","Nate Jones",434778,"FT|SL","Called Strike","null","null"
"278","Nate Jones",521692,"PO|SL","In play, out(s)","87","-15.93"
"279","Nate Jones",521692,"SL|FT","Called Strike","null","null"
"280","Nate Jones",521692,"FT|SL","Swinging Strike","null","null"
"282","Nate Jones",543333,"SL|SL","Called Strike","null","null"
"285","Nate Jones",596144,"FT|FT","In play, out(s)","104.1","-1.97"
"287","Nate Jones",456715,"FT|SL","Foul","null","null"
"288","Nate Jones",456715,"SL|SL","Foul","null","null"
"289","Nate Jones",456715,"SL|SL","Swinging Strike","null","null"
"290","Nate Jones",456715,"SL|SL","Called Strike","null","null"
"291","Nate Jones",456715,"SL|SL","Swinging Strike","null","null"
"292","Nate Jones",456715,"SL|FT","Foul","null","null"
"293","Nate Jones",456715,"FT|SL","Foul","null","null"
"296","Nate Jones",543333,"FT|FT","In play, out(s)","95.9","49.54"
"299","Nate Jones",592518,"SL|SL","Called Strike","null","null"
"300","Nate Jones",592518,"SL|FT","In play, out(s)","null","null"
"302","Nate Jones",444432,"FT|FT","Foul","null","null"
"303","Nate Jones",444432,"FT|SL","Swinging Strike","null","null"
"306","Nate Jones",448801,"FT|SL","Foul","null","null"
"308","Nate Jones",448801,"SL|SL","Swinging Strike","null","null"
"311","Nate Jones",429666,"SL|FT","Called Strike","null","null"
"312","Nate Jones",429666,"FT|SL","In play, out(s)","81.8","51.07"
"316","Nate Jones",502110,"SL|SL","Swinging Strike","null","null"
"317","Nate Jones",502110,"SL|FT","Foul","null","null"
"319","Nate Jones",435559,"SL|FT","Foul","null","null"
"320","Nate Jones",435559,"FT|SL","Called Strike","null","null"
"326","Nate Jones",572821,"FT|FT","Swinging Strike","null","null"
"327","Nate Jones",572821,"FT|SL","Foul","null","null"
"328","Nate Jones",572821,"SL|SL","Swinging Strike","null","null"
"330","Nate Jones",543257,"SL|FT","In play, out(s)","92.9","28.06"
"333","Nate Jones",519203,"SL|FT","Foul","null","null"
"335","Nate Jones",519203,"FT|SL","Called Strike","null","null"
"337","Nate Jones",592178,"FT|FT","Foul","null","null"
"338","Nate Jones",592178,"FT|SL","In play, out(s)","null","null"
"340","Nate Jones",450314,"FT|FT","In play, no out","101.4","9.26"
"342","Nate Jones",575929,"SL|CH","Called Strike","null","null"
"343","Nate Jones",575929,"CH|FT","Called Strike","null","null"
"344","Nate Jones",575929,"FT|FT","Foul","null","null"
"349","Nate Jones",608365,"SL|SL","In play, run(s)","null","null"
"351","Nate Jones",608365,"FT|FT","In play, out(s)","null","null"
"353","Nate Jones",608365,"FT|FT","Called Strike","null","null"
"356","Nate Jones",449107,"FT|FT","Called Strike","null","null"
"358","Nate Jones",449107,"FT|FT","Called Strike","null","null"
"359","Nate Jones",449107,"FT|SL","Swinging Strike","null","null"
"364","Nate Jones",435079,"SL|FT","Foul","null","null"
"365","Nate Jones",435079,"FT|SL","In play, no out","94","9.9"
"366","Nate Jones",435079,"SL|SL","Called Strike","null","null"
"370","Nate Jones",578428,"FT|FT","In play, out(s)","90.5","-27.17"
"374","Nate Jones",408234,"FT|FT","Foul","null","null"
"375","Nate Jones",408234,"FT|SL","Swinging Strike","null","null"
"379","Nate Jones",400121,"SL|SL","Swinging Strike","null","null"
"380","Nate Jones",400121,"SL|SL","Called Strike","null","null"
"381","Nate Jones",400121,"SL|SL","Foul","null","null"
"384","Nate Jones",408234,"FT|SL","Swinging Strike","null","null"
"385","Nate Jones",408234,"SL|FT","Called Strike","null","null"
"392","Nate Jones",592206,"SL|SL","Foul","null","null"
"393","Nate Jones",592206,"SL|FT","In play, run(s)","null","null"
"394","Nate Jones",592206,"FT|SL","Foul","null","null"
"396","Nate Jones",457708,"FT|FT","Called Strike","null","null"
"399","Nate Jones",457727,"FT|SL","In play, no out","null","null"
"402","Nate Jones",408234,"SL|FT","In play, run(s)","108","0.16"
"403","Nate Jones",408234,"FT|FT","Called Strike","null","null"
"404","Nate Jones",408234,"FT|FT","Foul","null","null"
"408","Nate Jones",400121,"SL|FT","Foul","null","null"
"409","Nate Jones",400121,"FT|FT","Foul","null","null"
"410","Nate Jones",400121,"FT|SL","Called Strike","null","null"
"413","Nate Jones",443558,"FT|FT","In play, no out","109.3","-1.95"
"416","Nate Jones",452252,"FT|FT","In play, run(s)","98.9","24.41"
"417","Nate Jones",452252,"FT|FT","Called Strike","null","null"
"420","Nate Jones",547982,"FT|SL","Foul","null","null"
"421","Nate Jones",547982,"SL|SL","Swinging Strike","null","null"
"422","Nate Jones",547982,"SL|SL","Foul","null","null"
"425","Nate Jones",443558,"SL|FT","In play, out(s)","null","null"
"426","Nate Jones",443558,"FT|FT","Called Strike","null","null"
"428","Nate Jones",443558,"FT|FT","Foul","null","null"
"429","Nate Jones",443558,"FT|SL","Foul","null","null"
"431","Nate Jones",572122,"FT|SL","Swinging Strike","null","null"
"432","Nate Jones",572122,"SL|FT","Called Strike","null","null"
"435","Nate Jones",452234,"CU|SL","Swinging Strike (Blocked)","null","null"
"437","Nate Jones",452234,"FT|FT","Foul","null","null"
"439","Nate Jones",493193,"SL|FT","Foul","null","null"
"440","Nate Jones",493193,"FT|FT","Foul","null","null"
"441","Nate Jones",493193,"FT|FT","In play, out(s)","71.9","-43.63"
"442","Nate Jones",493193,"FT|SL","Called Strike","null","null"
"444","Nate Jones",493193,"SL|SL","Foul","null","null"
"448","Nate Jones",455976,"SL|FT","Foul","null","null"
"449","Nate Jones",455976,"FT|FT","Called Strike","null","null"
"451","Nate Jones",455976,"SL|SL","Swinging Strike","null","null"
"453","Nate Jones",425796,"FT|SL","Swinging Strike","null","null"
"454","Nate Jones",425796,"SL|FT","Called Strike","null","null"
"459","Nate Jones",430947,"SL|SL","Swinging Strike","null","null"
"461","Nate Jones",430947,"FT|FT","Called Strike","null","null"
"470","Nate Jones",516770,"FT|FT","In play, no out","97.2","13.77"
"472","Nate Jones",544369,"SL|FT","Called Strike","null","null"
"473","Nate Jones",544369,"FT|SL","Foul","null","null"
"475","Nate Jones",452104,"FT|FT","Swinging Strike","null","null"
"476","Nate Jones",452104,"FT|FT","Swinging Strike","null","null"
"478","Nate Jones",543305,"FT|SL","Foul","null","null"
"479","Nate Jones",543305,"SL|FT","Foul","null","null"
"480","Nate Jones",543305,"FT|SL","Swinging Strike","null","null"
"481","Nate Jones",543305,"SL|SL","Swinging Strike","null","null"
"483","Nate Jones",543305,"SL|SL","Swinging Strike","null","null"
"484","Nate Jones",543305,"SL|SL","Foul","null","null"
"487","Nate Jones",472528,"FT|FT","Called Strike","null","null"
"488","Nate Jones",472528,"FT|FT","Foul","null","null"
"490","Nate Jones",488771,"CU|FT","Foul","null","null"
"491","Nate Jones",488771,"FT|FT","Called Strike","null","null"
"496","Nate Jones",621043,"SL|FT","Swinging Strike","null","null"
"498","Nate Jones",621043,"FT|FT","Called Strike","null","null"
"501","Nate Jones",460576,"FT|FT","Foul","null","null"
"502","Nate Jones",460576,"FT|SL","In play, out(s)","75.7","6.63"
"503","Nate Jones",460576,"SL|FT","Foul","null","null"
"505","Nate Jones",500871,"FT|FT","Foul","null","null"
"506","Nate Jones",500871,"FT|SL","Swinging Strike","null","null"
"509","Nate Jones",500871,"FT|SL","Foul","null","null"
"511","Nate Jones",543257,"FT|FT","Foul","null","null"
"514","Nate Jones",543257,"FT|SL","Called Strike","null","null"
"519","Nate Jones",456488,"FT|SL","In play, run(s)","77","18.11"
"520","Nate Jones",456488,"SL|SL","Swinging Strike","null","null"
"523","Nate Jones",572821,"SL|FT","Called Strike","null","null"
"526","Nate Jones",572821,"FT|FT","In play, out(s)","100.9","21.6"
"528","Nate Jones",500871,"FT|FT","In play, out(s)","90.4","34.91"
"530","Nate Jones",500871,"FT|FT","Called Strike","null","null"
"532","Nate Jones",485567,"FT|FT","Called Strike","null","null"
"533","Nate Jones",485567,"FT|FT","Called Strike","null","null"
"538","Nate Jones",518626,"SL|FT","Foul","null","null"
"539","Nate Jones",518626,"FT|SL","Swinging Strike","null","null"
"541","Nate Jones",518626,"SL|SL","In play, out(s)","null","null"
"543","Nate Jones",429665,"SL|SL","Swinging Strike","null","null"
"544","Nate Jones",429665,"SL|FT","Swinging Strike","null","null"
"546","Nate Jones",593428,"FT|FT","Foul","null","null"
"549","Nate Jones",605141,"FT|FT","Foul","null","null"
"550","Nate Jones",605141,"FT|FT","Swinging Strike","null","null"
"552","Nate Jones",605141,"SL|SL","Called Strike","null","null"
"553","Nate Jones",605141,"SL|SL","Foul","null","null"
"555","Nate Jones",456030,"SL|FT","Called Strike","null","null"
"558","Nate Jones",506702,"FT|FT","In play, out(s)","105","15.04"
"561","Nate Jones",456030,"SL|FT","In play, no out","91.7","-1.11"
"562","Nate Jones",456030,"FT|FT","Called Strike","null","null"
"564","Nate Jones",593428,"FT|FT","Called Strike","null","null"
"566","Nate Jones",434670,"SL|SL","Called Strike","null","null"
"567","Nate Jones",434670,"SL|FT","Called Strike","null","null"
"568","Nate Jones",434670,"FT|FT","Foul","null","null"
"572","Nate Jones",605141,"FT|FT","Called Strike","null","null"
"573","Nate Jones",605141,"FT|SL","Swinging Strike","null","null"
"574","Nate Jones",605141,"SL|SL","Swinging Strike","null","null"
"576","Nate Jones",593428,"FT|SL","In play, out(s)","93.4","-10.69"
"582","Nate Jones",120074,"SL|FT","In play, out(s)","95.2","-17.36"
"586","Nate Jones",346874,"FT|FT","In play, no out","105.1","19.28"
"589","Nate Jones",543228,"SL|SL","Swinging Strike","null","null"
"591","Nate Jones",543228,"FT|FT","Foul","null","null"
"593","Nate Jones",492841,"FT|FT","Swinging Strike","null","null"
"594","Nate Jones",492841,"FT|FT","In play, out(s)","100.2","5.14"
"597","Nate Jones",467793,"SL|SL","Called Strike","null","null"
"598","Nate Jones",467793,"SL|SL","Called Strike","null","null"
"601","Nate Jones",408234,"FT|SL","In play, out(s)","87.8","44.09"
"602","Nate Jones",408234,"SL|FT","Called Strike","null","null"
"603","Nate Jones",408234,"FT|FT","Swinging Strike","null","null"
"606","Nate Jones",592206,"FT|FT","Foul","null","null"
"607","Nate Jones",592206,"FT|FT","Foul","null","null"
"610","Nate Jones",449107,"FT|FT","In play, out(s)","83.8","64.9"
"613","Nate Jones",457727,"FT|SL","Swinging Strike","null","null"
"614","Nate Jones",457727,"SL|FT","Called Strike","null","null"
"615","Nate Jones",457727,"FT|SL","Swinging Strike","null","null"
"617","Nate Jones",408234,"FT|SL","Called Strike","null","null"
"618","Nate Jones",408234,"SL|SL","Swinging Strike","null","null"
"621","Nate Jones",592206,"SL|SL","Foul","null","null"
"622","Nate Jones",592206,"SL|FT","In play, out(s)","null","null"
"625","Nate Jones",578428,"FT|FT","Called Strike","null","null"
"626","Nate Jones",578428,"FT|FT","In play, run(s)","null","null"
"628","Nate Jones",435079,"FT|SL","In play, no out","73.9","25.54"
"629","Nate Jones",435079,"SL|SL","Called Strike","null","null"
"634","Nate Jones",596144,"FT|FT","In play, out(s)","97.9","-18.99"
