"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"898","Nate Jones",462101,"SL|FT","Called Strike","null","null"
"900","Nate Jones",462101,"FT|FT","Foul","null","null"
"902","Nate Jones",592261,"FT|FT","Foul","null","-31.67"
"904","Nate Jones",608577,"FT|FT","Foul","null","null"
"908","Nate Jones",608577,"FT|FT","In play, no out","87.1","12.71"
"910","Nate Jones",134181,"FT|SL","Foul","null","null"
"913","Nate Jones",134181,"FT|FT","Foul","null","53.82"
"914","Nate Jones",134181,"FT|SL","Swinging Strike","null","null"
"916","Nate Jones",425902,"SL|FT","Called Strike","null","null"
"920","Nate Jones",543068,"FT|SL","Swinging Strike","null","null"
"921","Nate Jones",543068,"SL|FT","Called Strike","null","null"
"925","Nate Jones",434567,"FT|FT","In play, out(s)","64.3","45.63"
"927","Nate Jones",434567,"FT|FT","Called Strike","null","null"
"929","Nate Jones",460060,"FT|FT","In play, out(s)","91.9","52.57"
"932","Nate Jones",488862,"FT|FT","Foul","null","null"
"933","Nate Jones",488862,"FT|FT","Foul","null","null"
"934","Nate Jones",488862,"FT|SL","Swinging Strike","null","null"
"939","Nate Jones",545361,"SL|FT","Foul","null","null"
"940","Nate Jones",545361,"FT|SL","Swinging Strike","null","null"
"941","Nate Jones",545361,"SL|FT","Called Strike","null","null"
"942","Nate Jones",545361,"FT|FT","Foul","null","21.71"
"944","Nate Jones",405395,"FT|FT","In play, out(s)","90.8","-31.82"
"945","Nate Jones",405395,"FT|FT","Called Strike","null","null"
"950","Nate Jones",461858,"FT|FT","In play, out(s)","69.9","-31.36"
"952","Nate Jones",592696,"CU|FT","Foul","null","null"
"960","Nate Jones",593934,"SL|FT","Swinging Strike","null","null"
"961","Nate Jones",593934,"FT|FT","Foul","null","null"
"962","Nate Jones",593934,"FT|FT","Swinging Strike","null","null"
"964","Nate Jones",461858,"FT|null","In play, out(s)","92","32.09"
"965","Nate Jones",461858,"null|FT","Called Strike","null","null"
"972","Nate Jones",542993,"FT|SL","Foul","null","31.06"
"973","Nate Jones",542993,"SL|FT","Called Strike","null","null"
"974","Nate Jones",542993,"FT|SL","In play, out(s)","79.9","44.82"
"976","Nate Jones",476704,"FT|SL","Swinging Strike","null","null"
"977","Nate Jones",476704,"SL|FT","Foul","null","14.96"
"979","Nate Jones",476704,"FT|FT","Foul","null","39.47"
"981","Nate Jones",502210,"FT|FT","Foul","null","32.97"
"985","Nate Jones",456714,"SL|SL","Foul","null","-35.64"
"986","Nate Jones",456714,"SL|SL","Swinging Strike","null","null"
"987","Nate Jones",456714,"SL|SL","Called Strike","null","null"
"988","Nate Jones",456714,"SL|SL","In play, out(s)","91.8","17.9"
"992","Nate Jones",519390,"FT|FT","Called Strike","null","null"
"993","Nate Jones",519390,"FT|FT","Foul","null","54.66"
"994","Nate Jones",519390,"FT|SL","Hit By Pitch","null","null"
"999","Nate Jones",458085,"FT|FT","Called Strike","null","null"
"1001","Nate Jones",458085,"FT|FT","Swinging Strike","null","null"
"1003","Nate Jones",502143,"FT|FT","In play, out(s)","82.5","51.91"
"1005","Nate Jones",502143,"SL|FT","Called Strike","null","null"
"1007","Nate Jones",501981,"FT|FT","Swinging Strike","null","null"
"1009","Nate Jones",501981,"FT|SL","Swinging Strike","null","null"
