"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1593","Tyler Chatwood",605412,"CU|FF","Swinging Strike","null","null"
"1598","Tyler Chatwood",622110,"FT|FF","Foul","null","null"
"1599","Tyler Chatwood",622110,"FF|FC","In play, out(s)","76.4","38.72"
"1602","Tyler Chatwood",543063,"FT|FC","Swinging Strike","null","null"
"1604","Tyler Chatwood",543063,"FT|FF","Foul","null","null"
"1607","Tyler Chatwood",623143,"FF|FC","Swinging Strike","null","null"
"1609","Tyler Chatwood",623143,"FT|FF","In play, no out","79.3","-5.83"
"1611","Tyler Chatwood",623143,"FF|FC","Foul","null","null"
"1618","Tyler Chatwood",622110,"FC|FF","In play, out(s)","93.5","30.25"
"1622","Tyler Chatwood",592620,"FF|FF","Foul","null","null"
"1623","Tyler Chatwood",592620,"FF|FT","In play, no out","95.2","8.26"
"1625","Tyler Chatwood",623143,"FC|FC","Foul","null","null"
"1627","Tyler Chatwood",544150,"FC|FF","In play, out(s)","86.6","-34.57"
"1628","Tyler Chatwood",544150,"FF|FF","Swinging Strike","null","null"
"1632","Tyler Chatwood",605412,"FT|CU","Foul","null","null"
"1634","Tyler Chatwood",457763,"FT|FT","In play, out(s)","100.6","8.64"
"1635","Tyler Chatwood",457763,"FT|FF","Called Strike","null","null"
"1637","Tyler Chatwood",543063,"FT|FF","Called Strike","null","null"
"1638","Tyler Chatwood",543063,"FF|FF","Foul","null","null"
"1641","Tyler Chatwood",543063,"FF|FF","Swinging Strike","null","null"
"1644","Tyler Chatwood",453923,"FF|FT","Called Strike","null","null"
"1646","Tyler Chatwood",453923,"CU|FC","In play, out(s)","86.3","24.41"
"1651","Tyler Chatwood",592620,"FF|FT","In play, out(s)","57.1","-63.77"
"1653","Tyler Chatwood",544150,"FF|FF","In play, run(s)","88.4","-7.06"
"1658","Tyler Chatwood",453923,"CU|FF","In play, out(s)","67.2","-7.33"
"1661","Tyler Chatwood",457763,"FT|FC","Foul","null","null"
"1662","Tyler Chatwood",457763,"FC|FF","Foul","null","null"
"1663","Tyler Chatwood",457763,"FF|CU","In play, out(s)","null","null"
"1666","Tyler Chatwood",457763,"FT|FC","Foul","null","null"
"1667","Tyler Chatwood",457763,"FC|FC","Foul","null","null"
"1670","Tyler Chatwood",474568,"FC|FF","Called Strike","null","null"
"1672","Tyler Chatwood",474568,"FC|FT","Foul","null","null"
"1673","Tyler Chatwood",474568,"FT|CU","Foul","null","null"
"1674","Tyler Chatwood",474568,"CU|FC","In play, out(s)","86.3","-0.83"
"1676","Tyler Chatwood",477003,"FT|FT","In play, out(s)","85.4","-18.1"
"1678","Tyler Chatwood",444379,"FF|FF","Foul","null","null"
"1680","Tyler Chatwood",444379,"FT|FF","In play, no out","79.9","11.06"
"1682","Tyler Chatwood",516782,"FC|FT","Called Strike","null","null"
"1683","Tyler Chatwood",516782,"FT|FT","Foul","null","null"
"1684","Tyler Chatwood",516782,"FT|FC","In play, no out","100.6","-6.85"
"1689","Tyler Chatwood",570256,"FF|FF","In play, out(s)","106","-1.7"
"1691","Tyler Chatwood",628356,"FT|FF","Called Strike","null","null"
"1692","Tyler Chatwood",628356,"FF|FF","In play, no out","102.9","18.47"
"1694","Tyler Chatwood",465041,"FT|FC","Foul","null","null"
"1696","Tyler Chatwood",465041,"FC|FC","Swinging Strike","null","null"
"1697","Tyler Chatwood",465041,"FC|FT","Foul","null","null"
"1698","Tyler Chatwood",465041,"FT|CU","Foul","null","null"
"1699","Tyler Chatwood",465041,"CU|FC","In play, out(s)","87.1","0.59"
"1707","Tyler Chatwood",474568,"FC|FF","Called Strike","null","null"
