"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"838","Jose Quintana",467793,"FF|FF","Called Strike","null","null"
"842","Jose Quintana",608070,"FF|FF","Foul","null","null"
"843","Jose Quintana",608070,"FF|FT","In play, no out","99.9","5.01"
"845","Jose Quintana",608070,"CU|FF","Swinging Strike","null","null"
"852","Jose Quintana",543401,"CU|CU","Swinging Strike (Blocked)","null","null"
"854","Jose Quintana",543401,"FT|FF","Foul","null","null"
"856","Jose Quintana",596019,"CU|FF","Swinging Strike","null","null"
"857","Jose Quintana",596019,"FF|FT","In play, out(s)","83.3","58.96"
"860","Jose Quintana",596019,"FF|FF","Foul","null","null"
"862","Jose Quintana",435063,"CU|FF","Foul","null","null"
"863","Jose Quintana",435063,"FF|CH","Called Strike","null","null"
"867","Jose Quintana",501659,"FF|CU","Swinging Strike","null","null"
"868","Jose Quintana",501659,"CU|FF","Foul","null","null"
"869","Jose Quintana",501659,"FF|CU","Swinging Strike (Blocked)","null","null"
"873","Jose Quintana",434658,"FF|FT","In play, out(s)","null","null"
"875","Jose Quintana",434658,"FF|FF","Foul","null","null"
"878","Jose Quintana",501659,"FF|FT","In play, out(s)","null","null"
"880","Jose Quintana",467793,"FF|CU","Swinging Strike","null","null"
"881","Jose Quintana",467793,"CU|CU","Called Strike","null","null"
"883","Jose Quintana",547379,"CH|CU","Called Strike","null","null"
"884","Jose Quintana",547379,"CU|FF","In play, out(s)","64.1","-13.27"
"885","Jose Quintana",547379,"FF|CU","Called Strike","null","null"
"890","Jose Quintana",608070,"FF|FF","In play, out(s)","null","null"
"893","Jose Quintana",608070,"CH|CU","In play, out(s)","null","null"
"895","Jose Quintana",608070,"FF|FF","Called Strike","null","null"
"896","Jose Quintana",608070,"FF|FT","Foul","null","null"
"899","Jose Quintana",596019,"FF|FT","In play, run(s)","89.8","20.12"
"903","Jose Quintana",449181,"FF|FF","Called Strike","null","null"
"905","Jose Quintana",449181,"FF|FT","In play, out(s)","null","null"
"909","Jose Quintana",434778,"CH|FF","Called Strike","null","null"
