pitch_type,player_name,batter
FF,Joe Kelly,429665
SL,Joe Kelly,429665
SL,Joe Kelly,429665
FF,Joe Kelly,430832
SL,Joe Kelly,430832
FF,Joe Kelly,430832
SL,Joe Kelly,431145
SL,Joe Kelly,431145
SL,Joe Kelly,431145
FF,Joe Kelly,431145
SL,Joe Kelly,453064
SL,Joe Kelly,453064
SL,Joe Kelly,453064
SL,Joe Kelly,453064
SL,Joe Kelly,453064
FF,Clayton Kershaw,621389
FF,Clayton Kershaw,621389
FF,Clayton Kershaw,621389
FF,Clayton Kershaw,491676
SL,Clayton Kershaw,491676
FF,Clayton Kershaw,491676
FF,Clayton Kershaw,491676
CU,Clayton Kershaw,491676
CU,Clayton Kershaw,474832
FF,Clayton Kershaw,474832
CH,Clayton Kershaw,474832
FF,Clayton Kershaw,474832
FF,Clayton Kershaw,474832
CU,Clayton Kershaw,457763
SL,Clayton Kershaw,457763
SL,Clayton Kershaw,457763
SL,Clayton Kershaw,457763
SL,Clayton Kershaw,457763
SL,Clayton Kershaw,457763
CH,Clayton Kershaw,457763
SL,Clayton Kershaw,452254
SL,Clayton Kershaw,452254
FF,Clayton Kershaw,452254
SL,Clayton Kershaw,543063
FF,Clayton Kershaw,493596
CU,Clayton Kershaw,605412
FF,Clayton Kershaw,605412
CU,Clayton Kershaw,605412
FF,Clayton Kershaw,605412
FF,Clayton Kershaw,621389
SL,Clayton Kershaw,621389
FF,Clayton Kershaw,621389
SL,Clayton Kershaw,491676
FC,Jon Lester,606299
SI,Jon Lester,606299
FF,Jon Lester,606299
CU,Jon Lester,606299
FF,Jon Lester,594807
FF,Jon Lester,594807
CU,Jon Lester,594807
CU,Jon Lester,594807
SI,Jon Lester,592731
FF,Jon Lester,592731
SI,Jon Lester,592731
FF,Jon Lester,553993
FC,Jon Lester,553993
FF,Jon Lester,553993
SI,Jon Lester,553993
FF,Jon Lester,553993
SI,Jon Lester,623182
FF,Jon Lester,623182
FF,Jon Lester,623182
CU,Jon Lester,623182
FF,Jon Lester,623182
FF,Jon Lester,541608
CU,Jon Lester,541608
FF,Jon Lester,541608
FF,Jon Lester,541608
SI,Jon Lester,534947
FC,Jon Lester,534947
FF,Jon Lester,534947
CH,Jon Lester,606299
FC,Jon Lester,606299
SI,Jon Lester,606299
FF,Jon Lester,606299
FF,Jon Lester,606299
FF,Jon Lester,606299
FF,Jon Lester,474443
CH,Jon Lester,474443
FF,Jon Lester,474443
FF,Jon Lester,474443
FF,Jon Lester,474443
FF,Jon Lester,474443
FF,Jon Lester,474443
FC,Jon Lester,474443
FF,Jon Lester,474443
FF,Jon Lester,458015
SI,Jon Lester,458015
FF,Jon Lester,458015
SI,Jon Lester,458015
FF,Jon Lester,594807
FF,Jon Lester,594807
SI,Jon Lester,594807
FF,Jon Lester,594807
FF,Jon Lester,594807
FF,Jon Lester,594807
FF,Jon Lester,594807
FF,Jon Lester,553993
CU,Jon Lester,553993
CU,Jon Lester,553993
FF,Jon Lester,553993
FF,Jon Lester,553993
FF,Jon Lester,623182
FF,Jon Lester,623182
CH,Jon Lester,623182
CU,Jon Lester,623182
FF,Jon Lester,534947
FF,Jon Lester,534947
SI,Jon Lester,534947
FF,Jon Lester,534947
FF,Jon Lester,534947
SI,Jon Lester,474443
SI,Jon Lester,474443
FF,Jon Lester,458015
FF,Jon Lester,458015
SI,Jon Lester,458015
FC,Jon Lester,458015
FF,Jon Lester,458015
FF,Jon Lester,458015
CH,Jon Lester,594807
FF,Jon Lester,592731
FC,Jon Lester,592731
FF,Jon Lester,592731
FF,Jon Lester,592731
FF,Jon Lester,592731
CH,Jon Lester,553993
FF,Jon Lester,553993
SI,Jon Lester,553993
FF,Jon Lester,553993
FF,Jon Lester,553993
CH,Jon Lester,553993
SI,Jon Lester,553993
FF,Jon Lester,623182
CU,Jon Lester,623182
SI,Jon Lester,623182
FF,Jon Lester,623182
FF,Clayton Kershaw,621389
FF,Clayton Kershaw,621389
CU,Clayton Kershaw,621389
FF,Clayton Kershaw,605412
FF,Clayton Kershaw,605412
CU,Clayton Kershaw,605412
FF,Clayton Kershaw,605412
CU,Clayton Kershaw,605412
CH,Clayton Kershaw,605412
FF,Clayton Kershaw,605412
SI,Chad Kuhl,649557
SI,Chad Kuhl,649557
FF,Chad Kuhl,649557
SL,Clayton Kershaw,434636
FF,Clayton Kershaw,434636
CU,Jon Lester,541608
FF,Jon Lester,541608
FF,Jon Lester,541608
FF,Jon Lester,541608
FF,Clayton Kershaw,543063
SL,Chad Kuhl,572039
FF,Joe Kelly,518626
SL,Joe Kelly,518626
FF,Joe Kelly,518626
CU,Joe Kelly,518626
SL,Joe Kelly,518626
SI,Chad Kuhl,425509
FF,Jon Lester,474443
FF,Jon Lester,474443
FF,Jon Lester,474443
FF,Jon Lester,474443
FF,Jon Lester,474443
FF,Jon Lester,474443
CH,Jon Lester,474443
CU,Clayton Kershaw,543063
FF,Clayton Kershaw,543063
FF,Clayton Kershaw,543063
CH,Chad Kuhl,572761
SI,Chad Kuhl,572761
FF,Chad Kuhl,572761
FF,Chad Kuhl,572761
