"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1473","Doug Fister",543776,"FT|FT","Strike","null","null"
"1474","Doug Fister",543776,"FT|FT","Hit","74.2","-32.97"
"1476","Doug Fister",594809,"CH|FF","Strike","null","null"
"1478","Doug Fister",547989,"FF|FC","Foul","null","null"
"1479","Doug Fister",547989,"FC|CU","Foul","null","null"
"1480","Doug Fister",547989,"CU|FF","Swinging Strike","null","null"
"1481","Doug Fister",547989,"FF|FF","Foul","null","null"
"1485","Doug Fister",453943,"FT|FF","Foul","null","null"
"1487","Doug Fister",453943,"FT|CU","Swinging Strike","null","null"
"1491","Doug Fister",488671,"FT|CU","Foul","null","null"
"1493","Doug Fister",488671,"FC|CU","Strike","null","null"
"1494","Doug Fister",488671,"CU|FT","Strike","null","null"
"1495","Doug Fister",488671,"FT|CU","Foul","null","null"
"1498","Doug Fister",425900,"CU|FF","Strike","null","null"
"1499","Doug Fister",425900,"FF|CH","Hit","100.6","5.79"
"1504","Doug Fister",543776,"CU|FF","Hit","96.5","24.25"
"1505","Doug Fister",543776,"FF|FF","Strike","null","null"
"1510","Doug Fister",594809,"FF|FF","Foul","null","null"
"1512","Doug Fister",594809,"FT|CH","Foul","null","null"
"1513","Doug Fister",594809,"CH|CU","Hit","91.8","-11.18"
"1516","Doug Fister",453943,"FC|CH","Strike","null","null"
"1518","Doug Fister",453943,"FC|FT","Strike","null","null"
"1522","Doug Fister",488671,"FT|FF","Swinging Strike","null","null"
"1523","Doug Fister",488671,"FF|FC","Strike","null","null"
"1526","Doug Fister",425900,"CU|CU","Hit","91.2","6.42"
"1527","Doug Fister",425900,"CU|CU","Strike","null","null"
"1528","Doug Fister",425900,"CU|FC","Swinging Strike","null","null"
"1531","Doug Fister",593160,"FT|FT","Foul","null","null"
"1532","Doug Fister",593160,"FT|FT","Strike","null","null"
"1536","Doug Fister",543333,"FT|FT","Hit","103","-3.43"
"1538","Doug Fister",543333,"FF|FT","Strike","null","null"
"1541","Doug Fister",521692,"FF|FT","Strike","null","null"
"1542","Doug Fister",521692,"FT|FT","Swinging Strike","null","null"
"1543","Doug Fister",521692,"FT|FT","Hit","65.9","43.66"
"1545","Doug Fister",434778,"FT|FT","Hit","101.1","30.25"
"1547","Doug Fister",434778,"FT|FT","Foul","null","null"
"1551","Doug Fister",596144,"FT|FT","Swinging Strike","null","null"
"1552","Doug Fister",596144,"FT|FT","Strike","null","null"
"1553","Doug Fister",596144,"FT|FT","Foul","null","null"
"1555","Doug Fister",593160,"FT|FT","Strike","null","null"
"1556","Doug Fister",593160,"FT|FT","Strike","null","null"
"1557","Doug Fister",593160,"FT|FT","Foul","null","null"
"1562","Doug Fister",460086,"FT|FT","Hit","null","null"
"1567","Doug Fister",456715,"CU|FF","Hit","101.5","17.36"
"1569","Doug Fister",521692,"CU|FT","Swinging Strike","null","null"
"1570","Doug Fister",521692,"FT|FT","Strike","null","null"
"1572","Doug Fister",434778,"FT|CH","Hit","106.8","21.63"
"1573","Doug Fister",434778,"CH|CU","Strike","null","null"
"1575","Doug Fister",444876,"FT|FF","Foul","null","null"
"1576","Doug Fister",444876,"FF|FC","Hit","67.6","-24.23"
"1577","Doug Fister",444876,"FC|FT","Foul","null","null"
"1578","Doug Fister",444876,"FT|CU","Foul","null","null"
"1580","Doug Fister",596144,"CU|FT","Swinging Strike","null","null"
"1581","Doug Fister",596144,"FT|FF","Hit","92.1","9.1"
"1583","Doug Fister",593160,"FF|FT","Swinging Strike","null","null"
"1584","Doug Fister",593160,"FT|FT","Strike","null","null"
"1585","Doug Fister",593160,"FT|CU","Strike","null","null"
"1587","Doug Fister",460086,"FT|CH","Hit","84.1","-18.96"
"1588","Doug Fister",460086,"CH|CU","Strike","null","null"
"1590","Doug Fister",456715,"CU|CU","Strike","null","null"
"1592","Doug Fister",456715,"FT|CU","Strike","null","null"
"1594","Doug Fister",456715,"CH|FT","Foul","null","null"
"1597","Doug Fister",543333,"FT|CU","Hit","96","25.51"
"1598","Doug Fister",543333,"CU|FT","Strike","null","null"
"1601","Doug Fister",434778,"CU|FT","Hit","98","33.43"
"1605","Doug Fister",449181,"FT|FC","Swinging Strike","null","null"
"1606","Doug Fister",449181,"FC|FC","Hit","91.6","-19.47"
"1608","Doug Fister",444876,"CU|CU","Strike","null","null"
"1609","Doug Fister",444876,"CU|FT","Hit","97.2","12.01"
"1611","Doug Fister",593160,"CU|FT","Foul","null","null"
"1612","Doug Fister",593160,"FT|CU","Strike","null","null"
"1614","Doug Fister",449181,"FT|FT","Strike","null","null"
"1616","Doug Fister",521692,"FF|FT","Foul","null","null"
"1617","Doug Fister",521692,"FT|FT","Hit","55.4","56.44"
"1620","Doug Fister",460086,"FT|FT","Strike","null","null"
"1621","Doug Fister",460086,"FT|FF","Hit","96.1","1.64"
"1624","Doug Fister",596144,"FT|FT","Foul","null","null"
"1629","Doug Fister",594777,"FF|FC","Foul","null","null"
"1630","Doug Fister",594777,"FC|CU","Swinging Strike","null","null"
"1632","Doug Fister",545361,"FF|FT","Hit","74.2","-9"
"1634","Doug Fister",405395,"FF|FF","Swinging Strike","null","null"
"1635","Doug Fister",405395,"FF|FF","Foul","null","null"
"1640","Doug Fister",537953,"FT|FF","Strike","null","null"
"1641","Doug Fister",537953,"FF|CH","Foul","null","null"
"1642","Doug Fister",537953,"CH|FT","Swinging Strike","null","null"
"1644","Doug Fister",542208,"FF|FT","Foul","null","null"
"1646","Doug Fister",542208,"FF|FT","Swinging Strike","null","null"
"1648","Doug Fister",463610,"FC|FF","Strike","null","null"
"1650","Doug Fister",463610,"FC|FT","Foul","null","null"
"1651","Doug Fister",463610,"FT|CU","Hit","71.9","5.11"
"1653","Doug Fister",488862,"FC|FT","Hit","108.5","0.79"
"1655","Doug Fister",594777,"CU|FC","Strike","null","null"
"1656","Doug Fister",594777,"FC|CH","Strike","null","null"
"1659","Doug Fister",594777,"CU|FT","Hit","46.3","-54.12"
"1661","Doug Fister",545361,"FT|FT","Foul","null","null"
"1662","Doug Fister",545361,"FT|FC","Strike","null","null"
"1665","Doug Fister",545361,"CU|FT","Hit","null","null"
"1667","Doug Fister",405395,"FF|FT","Foul","null","null"
"1668","Doug Fister",405395,"FT|FC","Swinging Strike","null","null"
"1669","Doug Fister",405395,"FC|FF","Hit","82.9","-8.61"
"1671","Doug Fister",537953,"FF|CU","Hit","85","34.43"
"1673","Doug Fister",592743,"FF|CU","Strike","null","null"
"1675","Doug Fister",592743,"FT|FF","Foul","null","null"
"1676","Doug Fister",592743,"FF|FC","Hit","87.3","-1.1"
"1679","Doug Fister",542208,"FT|CU","Strike","null","null"
"1680","Doug Fister",542208,"CU|FT","Hit","71","16.74"
"1684","Doug Fister",488862,"FT|FT","Strike","null","null"
"1685","Doug Fister",488862,"FT|CU","Swinging Strike","null","null"
"1687","Doug Fister",594777,"FT|FT","Strike","null","null"
"1690","Doug Fister",594777,"CU|CH","Swinging Strike","null","null"
"1695","Doug Fister",545361,"FC|FT","Hit","null","null"
"1698","Doug Fister",405395,"FT|CU","Strike","null","null"
"1700","Doug Fister",405395,"CU|FF","Hit","97.7","22.4"
"1704","Doug Fister",537953,"FF|FT","Strike","null","null"
"1706","Doug Fister",537953,"CU|FT","Strike","null","null"
"1707","Doug Fister",537953,"FT|FT","Foul","null","null"
"1708","Doug Fister",537953,"FT|FT","Swinging Strike","null","null"
"1710","Doug Fister",463610,"FF|FF","Hit","70.8","11.23"
"1712","Doug Fister",543068,"FT|FT","Strike","null","null"
"1713","Doug Fister",543068,"FT|CU","Hit","63.9","-10.15"
"1717","Doug Fister",488862,"FF|FT","Foul","null","null"
"1718","Doug Fister",488862,"FT|FC","Hit","87.4","-9.99"
"1720","Doug Fister",592743,"FF|FF","Strike","null","null"
"1721","Doug Fister",592743,"FF|FF","Strike","null","null"
"1722","Doug Fister",592743,"FF|FT","Hit","45.4","-26.58"
"1725","Doug Fister",542208,"FF|FT","Hit","57.5","16.31"
"1727","Doug Fister",592743,"FF|CU","Swinging Strike","null","null"
"1730","Doug Fister",592743,"FT|FT","Foul","null","null"
"1732","Doug Fister",592743,"CU|FF","Hit","97.4","-10.7"
"1735","Doug Fister",543068,"FT|FF","Hit","78.5","5.54"
"1737","Doug Fister",571431,"CU|CU","Swinging Strike","null","null"
"1742","Doug Fister",571757,"CU|CU","Foul","null","null"
"1743","Doug Fister",571757,"CU|FT","Hit","86.8","-24.79"
"1745","Doug Fister",572761,"FT|CU","Hit","83.6","36.09"
"1746","Doug Fister",572761,"CU|CH","Strike","null","null"
"1749","Doug Fister",572761,"FT|FT","Strike","null","null"
"1750","Doug Fister",572761,"FT|CH","Hit","null","null"
"1753","Doug Fister",407812,"CH|FT","Strike","null","null"
"1754","Doug Fister",407812,"FT|FT","Hit","null","null"
"1758","Doug Fister",461235,"FT|FT","Strike","null","null"
"1761","Doug Fister",572039,"FT|FT","Swinging Strike","null","null"
"1762","Doug Fister",572039,"FT|FT","Strike","null","null"
"1764","Doug Fister",571431,"CH|FT","Strike","null","null"
"1765","Doug Fister",571431,"FT|FT","Hit","101.5","29.12"
"1767","Doug Fister",425509,"FT|FT","Swinging Strike","null","null"
"1768","Doug Fister",425509,"FT|FT","Strike","null","null"
"1771","Doug Fister",594824,"FT|FT","Strike","null","null"
"1772","Doug Fister",594824,"FT|FT","Strike","null","null"
"1775","Doug Fister",448802,"FT|FT","Strike","null","null"
"1776","Doug Fister",448802,"FT|FT","Strike","null","null"
"1778","Doug Fister",572761,"CH|FT","Strike","null","null"
"1781","Doug Fister",572039,"FC|FT","Foul","null","null"
"1783","Doug Fister",572039,"FT|CU","Hit","88.8","23.24"
"1784","Doug Fister",572039,"CU|FT","Strike","null","null"
"1787","Doug Fister",571431,"CU|FC","Strike","null","null"
