"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"320","Lucas Harrell",609275,"FT|FT","Strike","null","null"
"324","Lucas Harrell",444876,"FF|FT","Hit","90.5","12.22"
"326","Lucas Harrell",444876,"CU|FT","Strike","null","null"
"328","Lucas Harrell",596144,"SL|FT","Strike","null","null"
"330","Lucas Harrell",543333,"CU|CU","Hit","null","null"
"333","Lucas Harrell",434778,"FT|FT","Hit","106.2","-5"
"336","Lucas Harrell",460086,"CU|CU","Strike","null","null"
"337","Lucas Harrell",460086,"CU|SL","Strike","null","null"
"340","Lucas Harrell",449181,"FT|SL","Hit","90.6","41.62"
"343","Lucas Harrell",449181,"FF|CU","Hit","105.1","-15.12"
"344","Lucas Harrell",449181,"CU|SL","Foul","null","null"
"348","Lucas Harrell",444876,"SL|FT","Foul","null","null"
"349","Lucas Harrell",444876,"FT|FT","Foul","null","null"
"351","Lucas Harrell",444876,"SL|FT","Hit","null","null"
"354","Lucas Harrell",456488,"FT|FT","Strike","null","null"
"358","Lucas Harrell",408045,"FT|FT","Hit","97.3","24.13"
"363","Lucas Harrell",593934,"FT|FT","Foul","null","null"
"364","Lucas Harrell",593934,"FT|FF","Foul","null","null"
"365","Lucas Harrell",593934,"FF|FF","Strike","null","null"
"367","Lucas Harrell",572821,"FF|FT","Strike","null","null"
"368","Lucas Harrell",572821,"FT|FF","Hit","97.1","-2.96"
"369","Lucas Harrell",572821,"FF|FF","Strike","null","null"
"371","Lucas Harrell",435559,"FT|FT","Hit","null","null"
"372","Lucas Harrell",435559,"FT|SL","Strike","null","null"
"374","Lucas Harrell",596146,"FT|FT","Strike","null","null"
"375","Lucas Harrell",596146,"FT|FT","Hit","85.7","-9.12"
"377","Lucas Harrell",573627,"SL|FT","Hit","113.2","9.8"
"379","Lucas Harrell",573627,"CU|FT","Strike","null","null"
"381","Lucas Harrell",592696,"CU|FT","Foul","null","null"
"384","Lucas Harrell",435559,"FT|FT","Strike","null","null"
"385","Lucas Harrell",435559,"FT|FT","Strike","null","null"
"386","Lucas Harrell",435559,"FT|FT","Foul","null","null"
"388","Lucas Harrell",435559,"FF|FT","Foul","null","null"
"389","Lucas Harrell",435559,"FT|SL","Foul","null","null"
"390","Lucas Harrell",435559,"SL|SL","Hit","81.9","31.19"
"395","Lucas Harrell",621439,"SL|FT","Strike","null","null"
"399","Lucas Harrell",408045,"CH|FT","Strike","null","null"
"405","Lucas Harrell",593934,"SL|SL","Strike","null","null"
"407","Lucas Harrell",593934,"FT|FT","Strike","null","null"
"409","Lucas Harrell",572821,"FT|FT","Hit","101.5","-2.62"
"413","Lucas Harrell",573627,"SL|FT","Strike","null","null"
"419","Lucas Harrell",592696,"SL|SL","Strike","null","null"
"422","Lucas Harrell",621439,"SL|FF","Foul","null","null"
"423","Lucas Harrell",621439,"FF|FF","Strike","null","null"
"424","Lucas Harrell",621439,"FF|FF","Strike","null","null"
"426","Lucas Harrell",621439,"CH|SL","Hit","73","10.61"
"428","Lucas Harrell",456488,"FT|FT","Foul","null","null"
"429","Lucas Harrell",456488,"FT|FT","Hit","82.8","-17.33"
"431","Lucas Harrell",456488,"FT|FT","Strike","null","null"
"433","Lucas Harrell",593934,"FT|SL","Foul","null","null"
"436","Lucas Harrell",593934,"SL|FT","Hit","74.6","42.38"
"438","Lucas Harrell",572821,"SL|FT","Strike","null","null"
"440","Lucas Harrell",572821,"SL|FF","Foul","null","null"
"442","Lucas Harrell",572821,"FT|FT","Strike","null","null"
"443","Lucas Harrell",572821,"FT|FT","Foul","null","null"
"444","Lucas Harrell",572821,"FT|FF","Hit","85.7","31.95"
"448","Lucas Harrell",408045,"FT|FT","Hit","95.8","2.03"
"453","Lucas Harrell",596146,"FF|SL","Hit","86.1","3.43"
"460","Lucas Harrell",446359,"FT|FT","Strike","null","null"
"462","Lucas Harrell",446359,"FT|CH","Foul","null","null"
"465","Lucas Harrell",458015,"FF|CH","Foul","null","null"
